"component_model_id","season","target","weight"
"ReichLab_sarima_seasonal_difference_TRUE","2018/2019","2 wk ahead","1.18729721647778e-10"
"UA_EpiCos","2018/2019","2 wk ahead","5.16589144671288e-10"
"CU_EAKFC_SEIRS","2018/2019","3 wk ahead","0.0545709098558991"
"CU_EAKFC_SIRS","2018/2019","3 wk ahead","2.29266191574529e-08"
"CU_EKF_SEIRS","2018/2019","3 wk ahead","0.125027949947076"
"CU_EKF_SIRS","2018/2019","3 wk ahead","9.92671389204191e-08"
"CU_RHF_SEIRS","2018/2019","3 wk ahead","0.0363136075366854"
"CU_RHF_SIRS","2018/2019","3 wk ahead","8.21039660902994e-09"
"CUBMA","2018/2019","3 wk ahead","0.03783502630258"
"Delphi_BasisRegression","2018/2019","3 wk ahead","1.06732606566223e-09"
"Delphi_EmpiricalFutures","2018/2019","3 wk ahead","1.72181916469427e-10"
"Delphi_EmpiricalTrajectories","2018/2019","3 wk ahead","2.49020778837159e-10"
"Delphi_ExtendedDeltaDensity","2018/2019","3 wk ahead","0.181300434196595"
"Delphi_MarkovianDeltaDensity","2018/2019","3 wk ahead","0.0438962502900911"
"Delphi_Uniform","2018/2019","3 wk ahead","2.74307729802722e-11"
"FluOutlook_Mech","2018/2019","3 wk ahead","3.8926047729855e-07"
"FluOutlook_MechAug","2018/2019","3 wk ahead","0.142120148560236"
"FluX_ARLR","2018/2019","3 wk ahead","1.62419676342501e-11"
"FluX_LSTM","2018/2019","3 wk ahead","1.59009125513977e-11"
"LANL_DBMplus","2018/2019","3 wk ahead","0.0999715486695033"
"Protea_Cheetah","2018/2019","3 wk ahead","0.278963352291706"
"Protea_Kudu","2018/2019","3 wk ahead","1.74946328374124e-10"
"Protea_Springbok","2018/2019","3 wk ahead","2.50960489540773e-07"
"ReichLab_kcde_backfill_none","2018/2019","3 wk ahead","7.06396849191234e-13"
"ReichLab_kcde_backfill_post_hoc","2018/2019","3 wk ahead","5.25130175584408e-13"
"ReichLab_kde","2018/2019","3 wk ahead","2.73480280172629e-14"
"ReichLab_sarima_seasonal_difference_FALSE","2018/2019","3 wk ahead","8.6453231488406e-14"
"ReichLab_sarima_seasonal_difference_TRUE","2018/2019","3 wk ahead","7.59466928102202e-14"
"UA_EpiCos","2018/2019","3 wk ahead","3.64145881869663e-14"
"CU_EAKFC_SEIRS","2018/2019","4 wk ahead","0.0551104239847838"
"CU_EAKFC_SIRS","2018/2019","4 wk ahead","8.63408087937331e-115"
"CU_EKF_SEIRS","2018/2019","4 wk ahead","0.0565070409177878"
"CU_EKF_SIRS","2018/2019","4 wk ahead","6.42604700710063e-15"
"CU_RHF_SEIRS","2018/2019","4 wk ahead","0.0617613529646268"
"CU_RHF_SIRS","2018/2019","4 wk ahead","4.25633557176554e-39"
"CUBMA","2018/2019","4 wk ahead","0.0318186079629077"
"Delphi_BasisRegression","2018/2019","4 wk ahead","0.0173839293534809"
"Delphi_EmpiricalFutures","2018/2019","4 wk ahead","9.69035903026748e-12"
"Delphi_EmpiricalTrajectories","2018/2019","4 wk ahead","9.20652985236777e-12"
"Delphi_ExtendedDeltaDensity","2018/2019","4 wk ahead","0.1783799592457"
"Delphi_MarkovianDeltaDensity","2018/2019","4 wk ahead","0.0445878233089906"
"Delphi_Uniform","2018/2019","4 wk ahead","5.02267521409363e-15"
"FluOutlook_Mech","2018/2019","4 wk ahead","6.00728146577449e-09"
"FluOutlook_MechAug","2018/2019","4 wk ahead","0.114151842304519"
"FluX_ARLR","2018/2019","4 wk ahead","1.64631155276499e-16"
"FluX_LSTM","2018/2019","4 wk ahead","1.78404157532637e-15"
"LANL_DBMplus","2018/2019","4 wk ahead","0.0620955495553645"
"Protea_Cheetah","2018/2019","4 wk ahead","1.30327215343775e-06"
"Protea_Kudu","2018/2019","4 wk ahead","1.71819533262355e-07"
"Protea_Springbok","2018/2019","4 wk ahead","0.378193312429537"
"ReichLab_kcde_backfill_none","2018/2019","4 wk ahead","5.76212061250769e-06"
"ReichLab_kcde_backfill_post_hoc","2018/2019","4 wk ahead","2.81913700810597e-06"
"ReichLab_kde","2018/2019","4 wk ahead","2.77944249165323e-09"
"ReichLab_sarima_seasonal_difference_FALSE","2018/2019","4 wk ahead","8.26101121165909e-09"
"ReichLab_sarima_seasonal_difference_TRUE","2018/2019","4 wk ahead","6.33331547008842e-08"
"UA_EpiCos","2018/2019","4 wk ahead","2.12231946658577e-08"
