target,location,season,calendar_week,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
1 wk ahead,HHS Region 1,2011/2012,12,0.17,0.17,0.17,0.17,0.17,0.17,0.28174485046,0.0013034555,0.19979005,0.15068266,0.000117854829,0.000117854829,0.045801528,0,0,0.24824051,0.21996589,0.001294765,0.32999779710975,0.206385089,0.33,0.00022,0.00028,0.25604580194,0.1514,0.1187,0.06553098
1 wk ahead,HHS Region 1,2011/2012,13,0.85,0.85,0.85,0.85,0.85,0.85,0.999999946824598,0.2577304456,0.28734623,0.23558688,0.36275048844,0.36275048844,0.061068704,0.9783735,0.9932444,0.42403359,0.47449245,0.8269777426,0.968000001262056,0.43065257,0.968,0.02826,0.02886,0.5281808408,0.7218,0.6573,0.50484774
1 wk ahead,HHS Region 1,2011/2012,14,0.97,0.97,0.97,0.97,0.97,0.97,0.99885157753,0.4771869319,0.30922784,0.2913118,0.47355227165,0.47355227165,0.068702292,0.999994592,0.999999889,0.41006966,0.54674819,0.850199862,0.964000014017042,0.57548714,0.964,0.07252,0.0709,0.70229987694,0.6775,0.767,0.51050491
1 wk ahead,HHS Region 1,2011/2012,15,0.75,0.75,0.75,0.75,0.75,0.75,0.8745326888,0.9433961826,0.32472168,0.2818573,0.9577178709,0.9577178709,0.061068704,0.9972156,0.9960393,0.35102534,0.41461796,0.329112462,0.930000001185699,0.489951499,0.93,0.06322,0.06166,0.7338861247,0.4518,0.5183,0.28493466
1 wk ahead,HHS Region 1,2011/2012,16,0.28,0.28,0.28,0.28,0.28,0.28,0.3646552096,0.3293710876,0.21700135,0.22641897,0.36562396951,0.36562396951,0.045801528,0,0,0.25309819,0.27070401,0.1138440856,0.530000022799791,0.50404435,0.53,0.0029,0.00304,0.648307234,0.1622,0.2817,0.06766826
1 wk ahead,HHS Region 1,2011/2012,17,0.67,0.67,0.67,0.67,0.67,0.67,0.0250905835361,0.001066318,0.18190184,0.17030897,9.4516815e-05,9.4516815e-05,0.03816794,0,0,0.25496197,0.25193684,0.0065409226,0.733999927454824,0.356056514,0.734,0.01216,0.01188,0.61297009,0.3288,0.2544,0.12647701
1 wk ahead,HHS Region 1,2011/2012,18,0.86,0.86,0.86,0.86,0.86,0.86,0.42873113,0.0013194663,0.19420737,0.22555531,0.00013725771,0.00013725771,0.045801528,0,0,0.31639277,0.37833102,0.8093326912,0.954000019279951,0.730316181,0.954,0.002,0.00204,0.767051608,0.6256,0.8008,0.43632384
1 wk ahead,HHS Region 1,2011/2012,43,0.54,0.54,0.54,0.54,0.54,0.54,0.1793191909,0.5481216027,0.26049453,0.12513103,0.45343346866,0.45343346866,0.053435116,0.9885001,0.9619355,0.27680767,0.39934194,0.0030001824,0.292000329374728,0.3843873737,0.292,0.0169,0.01754,0.4339157119,0.3913,0.0783,0.19578764
1 wk ahead,HHS Region 1,2011/2012,44,0.65,0.65,0.65,0.65,0.65,0.65,0.476216322,0.0544642047,0.25048203,0.13095198,0.02946651631,0.02946651631,0.053435116,0.8423208,0.8525085,0.30967408,0.39934194,0.098998128,0.298000246275247,0.352939248,0.298,0.01214,0.01272,0.38801697094,0.5781,0.4098,0.29797861
1 wk ahead,HHS Region 1,2011/2012,45,0.25,0.25,0.25,0.25,0.25,0.25,4.18328300000004e-14,0.0082195692,0.20125242,0.12925617,0.00024776838,0.00024776838,0.045801528,0,0,0.23535519,0.27070401,0.2373173516,0.042138186405,0.2132137361,0.04,0.00052,0.00042,0.26789063294,0.2026,0.1273,0.09314179
